incidentID,taxonomy,generatedClassification,originalClassification
427,MIT,"{""_id"":""new"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""7. AI system safety, failures, and limitations\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""7.3. Lack of capability or robustness\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f2a7f798a64a21aa5d"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""7. AI system safety, failures, and limitations\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""7.3. Lack of capability or robustness\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":427}]}"
428,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""2. Privacy & Security\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""2.2. AI system security vulnerabilities and attacks\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f2a7f798a64a21aa6f"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""2. Privacy & Security\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""2.2. AI system security vulnerabilities and attacks\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":428}]}"
429,MIT,"{""_id"":""new_incident"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f3a7f798a64a21aa88"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""7. AI system safety, failures, and limitations\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""7.3. Lack of capability or robustness\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":429}]}"
430,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f3a7f798a64a21aa9b"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""5. Human-Computer Interaction\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""5.2. Loss of human agency and autonomy\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":430}]}"
431,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""2. Privacy & Security\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""2.2. AI system security vulnerabilities and attacks\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f4a7f798a64a21aab5"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""4. Malicious Actors & Misuse\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""4.3. Fraud, scams, and targeted manipulation\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":431}]}"
432,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""7. AI system safety, failures, and limitations\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""7.3. Lack of capability or robustness\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f4a7f798a64a21aac6"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""7. AI system safety, failures, and limitations\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""7.3. Lack of capability or robustness\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":432}]}"
433,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f5a7f798a64a21aae2"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":433}]}"
434,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""5. Human-Computer Interaction\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""5.1. Overreliance and unsafe use\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f5a7f798a64a21aaf8"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""7. AI system safety, failures, and limitations\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""7.3. Lack of capability or robustness\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":434}]}"
435,MIT,"{""_id"":""new"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""6. Socioeconomic & Environmental Harms\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""6.1. Power centralization and unfair distribution of benefits\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f5a7f798a64a21ab14"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""6. Socioeconomic & Environmental Harms\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""6.1. Power centralization and unfair distribution of benefits\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":435}]}"
436,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""5. Human-Computer Interaction\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""5.1. Overreliance and unsafe use\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f6a7f798a64a21ab27"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""5. Human-Computer Interaction\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""5.1. Overreliance and unsafe use\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":436}]}"
437,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""4. Malicious Actors & Misuse\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""4.3. Fraud, scams, and targeted manipulation\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f6a7f798a64a21ab3c"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""6. Socioeconomic & Environmental Harms\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""6.1. Power centralization and unfair distribution of benefits\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":437}]}"
438,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""4. Malicious Actors & Misuse\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""4.1. Disinformation, surveillance, and influence at scale\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f7a7f798a64a21ab55"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""2. Privacy & Security\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Pre-deployment\""""}],""incidents"":[{""incident_id"":438}]}"
439,MIT,"{""_id"":""new"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f7a7f798a64a21ab68"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":439}]}"
440,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.3. Unequal performance across groups\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f8a7f798a64a21ab81"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.3. Unequal performance across groups\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":440}]}"
